,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
73,11366,5437851.0,9450653.0,4866128.0,7036650.0,27770287.0,14503158.0,11693207.0,8606825.0,4558323.0,1649887.0,poor,fair,poor,poor,good,fair,fair,poor,poor,poor
74,10472,4718105.0,6182298.0,5885122.0,10039082.0,12960874.0,10093915.0,24922493.0,12818929.0,10340297.0,3894415.0,poor,fair,poor,fair,fair,poor,fair,fair,fair,fair
75,10468,23778557.0,23075477.0,25435320.0,38465406.0,35629663.0,49847341.0,59076405.0,45667173.0,46157169.0,8688092.0,good,good,good,good,good,good,good,good,good,good
76,11207,23264294.0,21032904.0,13636717.0,38517333.0,34143246.0,32181866.0,29925843.0,52051321.0,34729897.0,8270787.0,good,good,fair,good,good,good,good,excellent,good,fair
77,10003,170373949.0,129796852.0,149756995.0,125533230.0,165143341.0,294317791.0,221121240.0,213479854.0,176109150.0,173091418.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
78,11362,2890012.0,6953050.0,3142298.0,12565821.0,5982337.0,4687413.0,3183192.0,2305222.0,3675638.0,534358.0,poor,fair,poor,fair,poor,poor,poor,poor,poor,poor
79,10023,115452641.0,133816751.0,162209398.0,125415006.0,145989547.0,177135103.0,132061627.0,122647831.0,131250343.0,71562625.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
80,10115,9232891.0,8802762.0,20446791.0,11442853.0,11329926.0,13798909.0,24317111.0,19872112.0,20390123.0,7701346.0,fair,fair,good,fair,fair,fair,fair,fair,good,fair
81,11378,8076913.0,8742261.0,22786298.0,15917438.0,11911954.0,11675013.0,16010285.0,18263373.0,16327279.0,6197144.0,fair,fair,good,fair,fair,fair,fair,fair,fair,fair
82,10451,54421690.0,72506334.0,26889733.0,23791768.0,20692874.0,22458616.0,56457279.0,49138657.0,33575259.0,14538205.0,excellent,excellent,good,good,fair,fair,good,good,good,good
83,11219,27155813.0,26725118.0,34426342.0,32117763.0,39759367.0,60879162.0,55096211.0,41125697.0,21762919.0,10869144.0,good,good,good,good,good,good,good,good,good,good
84,11692,61708425.0,6178689.0,11286217.0,17705616.0,16811801.0,26254802.0,70966866.0,56497769.0,47622008.0,2599601.0,excellent,fair,fair,fair,fair,good,excellent,excellent,excellent,fair
85,11377,10049809.0,9619624.0,9494589.0,11329470.0,17830145.0,76386050.0,20482234.0,14241548.0,11947990.0,4453105.0,fair,fair,fair,fair,fair,excellent,fair,fair,fair,fair
86,10271,52753761.0,71493128.0,128830084.0,125713536.0,98493887.0,90155179.0,143870666.0,697368672.0,162152653.0,101097056.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
87,11201,79515808.0,131178086.0,138478852.0,108762384.0,173784679.0,221819468.0,198429755.0,255745405.0,478710976.0,114377686.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
88,11220,34403690.0,39622369.0,60091891.0,45300933.0,75413700.0,99301616.0,107769112.0,123384628.0,73397530.0,45536323.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
89,10022,93445888.0,85199557.0,75341727.0,122234197.0,69628931.0,117731200.0,281587287.0,116133029.0,126798729.0,146306543.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
90,11694,8944740.0,3886459.0,7778881.0,10695153.0,6989376.0,17651752.0,4732875.0,7241430.0,6429396.0,1277907.0,fair,poor,fair,fair,poor,fair,poor,poor,fair,poor
91,11209,17833563.0,16349879.0,20750322.0,16760591.0,16781349.0,17626432.0,20418183.0,19626782.0,26815230.0,2700103.0,good,good,good,fair,fair,fair,fair,fair,good,fair
92,11423,8767565.0,4769957.0,3858371.0,4678569.0,36568728.0,32931645.0,6594152.0,5757702.0,3423969.0,501695.0,fair,poor,poor,poor,good,good,poor,poor,poor,poor
93,11206,25319006.0,30025639.0,40793826.0,28396606.0,37774157.0,51885815.0,53684084.0,51759774.0,32353499.0,25725018.0,good,good,excellent,good,good,good,good,good,good,good
94,10002,68898010.0,71485834.0,88406245.0,74994108.0,67658514.0,92031816.0,82409120.0,97362111.0,82395141.0,58564171.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
95,11581,742001.0,395947.0,704530.0,791766.0,4027990.0,3015839.0,2960462.0,2113196.0,227732.0,87324.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
96,11203,7046691.0,9514950.0,8765094.0,11063788.0,40550560.0,13097099.0,18493970.0,13701160.0,6505116.0,814100.0,fair,fair,fair,fair,good,fair,fair,fair,fair,poor
97,11222,47579817.0,102666312.0,41430920.0,37229390.0,34195438.0,37840123.0,60530868.0,40937643.0,31320638.0,16751134.0,excellent,excellent,excellent,good,good,good,good,good,good,good
98,10154,52187010.0,54959771.0,29515899.0,53028960.0,53635799.0,44268392.0,58499291.0,35500355.0,34825847.0,34279511.0,excellent,excellent,good,excellent,excellent,good,good,good,good,excellent
