year,incident_zip,complaint_type,avg_job_time
2010,10469,Overgrown Tree/Branches,717.6330853675645
2011,10469,Root/Sewer/Sidewalk Condition,900.1159669174382
2010,10470,Root/Sewer/Sidewalk Condition,1121.2360309193123
2010,10470,Dead Tree,1025.575167824074
2010,10470,Overgrown Tree/Branches,731.6947530864198
2011,10470,Root/Sewer/Sidewalk Condition,1135.7421116255146
2011,10470,Overgrown Tree/Branches,705.5480381944444
2010,10471,Special Projects Inspection Team (SPIT),1277.9139496527778
2010,10471,Root/Sewer/Sidewalk Condition,1223.9073237179489
2012,10471,Found Property,2368.062326388889
2013,10471,Found Property,2079.41119212963
2014,10471,Found Property,1703.2258217592594
