boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
4,Queens,11436,-0.039765972,-0.015903912,0.002728171,0.04300012,0.118252823,0.101018946,0.019401381,0.094915409
4,Queens,11357,0.051668257,0.014031796,-0.003476946,0.050247363,0.080779061,0.110357052,0.040727896,0.097908241
2,Bronx,10470,-0.018025193,0.005888566,-0.003457692,0.009177293,0.0549601,0.057280856,0.060264974,0.079845611
3,Brooklyn,11205,0.014233821,0.049288292,0.041981074,0.091242285,0.121436967,0.245513046,0.168720114,0.146399869
5,Staten Island,10306,0.014018679,0.001074336,-0.09242999,0.067993139,0.035861756,0.091457268,0.065971,0.123961567
1,Manhattan,10024,0.152454924,0.04442991,0.026957083,0.045123785,0.080430308,0.106984161,0.064047938,0.09061448
3,Brooklyn,11212,-0.083911088,-0.078970106,0.034027071,2.34E-04,0.069073653,0.079221125,0.103460395,0.109847559
4,Queens,11363,0.035042327,0.012262947,-0.020683324,0.031118169,0.072649255,0.149385845,-0.018173638,0.062999889
5,Staten Island,10312,0.021638971,0.015766124,-0.006564309,0.028241038,0.065811314,0.040032927,0.044815452,0.105817179
3,Brooklyn,11211,-0.022832983,0.110226453,0.052249483,0.10102474,0.144921588,0.192596921,0.195065401,0.131206434
1,Manhattan,10033,0.085834587,0.041949212,0.053172924,0.082964996,0.076709075,0.118397927,0.100895359,0.140170476
2,Bronx,10465,0.014110843,0.040255118,3.30E-04,-0.008669202,0.058449301,0.03071492,0.06159477,0.099786546
4,Queens,11375,0.058300146,0.03149975,0.015057306,0.05575637,0.122321071,0.09435206,0.034201046,0.116522452
1,Manhattan,10028,0.143828442,-0.011100218,0.044841008,0.059447348,0.095705268,0.079604863,0.058018102,0.052804456
2,Bronx,10451,0.090639131,0.00266105,0.05833862,0.060576526,0.153272552,0.103871821,0.065963124,0.174246218
2,Bronx,10461,-0.034223656,0.047839492,-0.009369272,-0.003318785,0.060754152,0.042505721,0.088731123,0.086164999
4,Queens,11104,0.055504279,0.011099329,0.026763243,0.076283702,0.11466561,0.132782629,0.065069689,0.103765579
2,Bronx,10472,-0.094275163,0.055170114,-0.011027825,0.01846093,0.035006651,0.064814271,0.112308836,0.088783297
2,Bronx,10803,0.250544662,0.18641115,-0.038179148,-0.058015267,0,-0.150729335,-0.150763359,0.413483146
4,Queens,11001,0.007054985,0.010890326,0.003233059,0.040852654,0.091368062,0.082470449,0.001694539,0.103205154
3,Brooklyn,11238,-0.0238352,0.09693397,0.083314171,0.142396204,0.128040644,0.230000354,0.233032452,0.192033012
4,Queens,11105,0.0621264,-0.001405066,0.013043098,0.074850248,0.088753027,0.117407074,0.085326773,0.116533771
5,Staten Island,10304,-0.005643529,0.007400683,0.002336539,0.016459393,0.047231717,0.066886465,0.070166705,0.128023014
1,Manhattan,10004,0.119534617,-0.03668127,0.015856369,0.064184038,0.046545875,0.115455052,0.035965183,-7.14E-04
1,Manhattan,10039,1.263748066,0.133209596,0.081939677,0.036289814,0.085083358,0.087481324,0.106799235,0.110481008
4,Queens,11692,0.018407682,-3.75E-05,-0.155570806,0.013862009,0.121154257,0.259543176,0.087868519,0.101961049
2,Bronx,10456,0.032040797,0.058562856,0.059794454,0.029398177,0.060149468,0.10674455,0.059803743,0.120817542
2,Bronx,10452,0.055377261,0.017001434,0.026025813,0.040594905,0.08808653,0.074694352,0.066095142,0.135188258
3,Brooklyn,11209,0.018958553,0.067007781,0.024251886,0.07680485,0.064899482,0.129327812,0.113244247,0.101754472
3,Brooklyn,11220,-0.018513128,0.096865354,0.028947349,0.080436525,0.069923801,0.13332465,0.127234306,0.133909917
1,Manhattan,10037,0.009317057,-0.034244536,0.056674395,0.13929819,0.079624597,0.166743999,0.173563444,0.124382263
4,Queens,11354,0.040878075,0.024295143,0.006778016,0.027950208,0.078129396,0.096489457,0.067606969,0.316156031
4,Queens,11428,-0.010394089,0.009300445,-0.00689615,0.039698929,0.100186944,0.085583666,0.041649794,0.126763263
2,Bronx,10475,-0.031657851,0.037829329,-0.022307903,-0.015790413,0.058496085,0.075874079,0.067046521,0.053014126
4,Queens,11372,0.025983571,0.060821439,0.007521118,0.061274913,0.083063893,0.160549,0.097113094,0.099972987
4,Queens,11417,-0.036849076,0.011775756,0.01030303,0.026682221,0.095820644,0.100777922,0.039798818,0.086143655
2,Bronx,10467,-0.047091529,0.064105405,0.031273378,0.01207167,0.068719101,0.109234847,0.080314623,0.083571608
1,Manhattan,10021,0.113457812,-0.006735459,0.022675445,0.033514824,0.057622317,0.101567677,0.04979058,0.043037056
1,Manhattan,12345,-0.587878788,-0.209558824,-0.002325581,0.03030303,0.176470588,-0.005769231,0.249516441,0.148606811
4,Queens,11697,0.053345202,0.037026446,-0.232783647,0.066469381,1.75E-04,0.185433309,0.087302479,0.143018717
3,Brooklyn,11203,-0.027377821,4.08E-04,0.002116364,0.048287094,0.052291975,0.107559678,0.102959724,0.124721204
4,Queens,11364,0.059888338,0.014137409,0.009505081,0.040785274,0.082789061,0.101829592,0.044035511,0.096539253
4,Queens,11374,0.071173673,0.040185435,0.019666104,0.043906213,0.140213902,0.089523905,0.064392923,0.083998836
